Postcode, Households, Children / Family, Motor Vehicles / Dwelling, People / Household, Families, Female, Male, Median Age, Median monthly mortgage, Median weekly household income, Median weekly rent, People
2000, 12687, 1.3, 0.5, 2.1, 3992, 11034, 11726, 29, 2600, 1422, 600, 22760
2006, 25, 3, 0.7, 3.7, 6, 631, 525, 20, 0, 1750, 0, 1156
2007, 3506, 1.4, 0.5, 2, 1140, 3467, 3644, 27, 2280, 1099, 460, 7111
2008, 3138, 1.5, 0.7, 2.1, 1067, 2900, 3394, 29, 2200, 1459, 454, 6294
2009, 6225, 1.4, 0.9, 2.1, 2870, 5707, 5912, 32, 2778, 2184, 575, 11619
2010, 15315, 1.4, 0.6, 1.8, 4810, 10609, 14794, 34, 2500, 1796, 450, 25403
2011, 12717, 1.4, 0.7, 1.6, 3187, 8285, 9753, 36, 2200, 1523, 400, 18038
2015, 4440, 1.5, 1.1, 2, 2082, 4055, 4374, 33, 2500, 2053, 475, 8429
2016, 6578, 1.4, 0.8, 1.9, 2316, 5276, 6759, 36, 2518, 1447, 380, 12035
2017, 8058, 1.4, 0.9, 1.9, 2937, 6766, 7702, 32, 2557, 1184, 430, 14468
2018, 6216, 1.7, 1.2, 2.6, 3978, 7690, 7708, 36, 2167, 1197, 355, 15398
2019, 3313, 1.8, 1.6, 2.8, 2316, 4502, 4399, 37, 2524, 1626, 350, 8901
2020, 4074, 1.7, 1.4, 2.6, 2763, 5078, 5102, 35, 2600, 1481, 450, 10180
2021, 7714, 1.6, 1.1, 2, 3107, 7387, 6851, 35, 3033, 2114, 495, 14238
2022, 5675, 1.7, 1.1, 2.2, 2685, 5914, 5681, 36, 3000, 1785, 515, 11595
2023, 4651, 1.9, 1.6, 2.5, 2520, 5430, 5336, 36, 3250, 2566, 508, 10766
2024, 4909, 1.8, 1.3, 2.4, 2585, 5810, 5267, 37, 3033, 2049, 480, 11077
2025, 3739, 1.7, 1.3, 2.1, 1774, 3941, 3239, 40, 3033, 2181, 550, 7180
2026, 15673, 1.7, 1.1, 2.2, 6643, 15087, 15309, 33, 3000, 1910, 500, 30396
2027, 4533, 1.6, 1.3, 1.9, 1709, 3906, 3399, 44, 3000, 2276, 590, 7305
2028, 2540, 1.7, 1.2, 2.1, 1100, 2638, 2049, 38, 3000, 2287, 550, 4687
2029, 4475, 1.7, 1.4, 2.3, 2446, 5055, 4347, 37, 2884, 1906, 500, 9402
2030, 5398, 2, 1.8, 2.8, 3611, 7151, 6762, 39, 3467, 2422, 531, 13913
2031, 14778, 1.7, 1.2, 2.3, 7809, 16943, 15377, 35, 2600, 1857, 460, 32320
2032, 6515, 1.7, 1.1, 2.5, 3405, 7644, 7621, 31, 2500, 1138, 420, 15265
2033, 4643, 1.7, 1.2, 2.4, 2355, 5426, 5538, 31, 2600, 1512, 435, 10964
2034, 9462, 1.7, 1.2, 2.2, 4533, 9941, 9152, 35, 2708, 1885, 455, 19093
2035, 14218, 1.7, 1.4, 2.5, 8461, 17202, 16032, 37, 2600, 1432, 420, 33234
2036, 10122, 1.8, 1.5, 2.7, 6765, 12982, 13913, 39, 2500, 1234, 310, 26895
2037, 7160, 1.6, 0.9, 2, 3011, 7232, 6609, 34, 2869, 1418, 350, 13841
2038, 4149, 1.6, 1.2, 2.2, 2144, 4544, 4125, 36, 2924, 2086, 450, 8669
2039, 3783, 1.6, 1.3, 2.3, 2155, 4157, 3762, 36, 3033, 2597, 530, 7919
2040, 9382, 1.6, 1.3, 2.3, 5356, 11060, 9804, 37, 3000, 1911, 440, 20864
2041, 7357, 1.6, 1.2, 2.2, 3880, 7716, 7036, 39, 3142, 2543, 500, 14752
2042, 8872, 1.6, 0.9, 2.1, 3793, 8905, 8816, 33, 2600, 1740, 420, 17721
2043, 3585, 1.5, 1, 2.1, 1769, 3347, 3501, 34, 2600, 2292, 500, 6848
2044, 3105, 1.6, 1.3, 2.4, 1807, 3468, 3722, 36, 2600, 1684, 450, 7190
2045, 2494, 1.8, 1.6, 2.8, 1761, 3416, 3234, 44, 2700, 1732, 380, 6650
2046, 11148, 1.7, 1.5, 2.4, 7046, 13166, 12013, 39, 2817, 1781, 459, 25179
2047, 5271, 1.7, 1.5, 2.3, 2956, 5926, 5453, 39, 2800, 2150, 485, 11379
2048, 3559, 1.6, 1.1, 2.3, 1837, 3903, 3799, 35, 2574, 1803, 390, 7702
2049, 4714, 1.6, 1.1, 2.3, 2447, 5285, 5169, 36, 2600, 1688, 350, 10454
2050, 3876, 1.5, 1, 1.9, 1540, 3243, 3460, 33, 2663, 1950, 495, 6703
2052, 59, 1, 0.5, 2.7, 12, 892, 919, 20, 0, 556, 288, 1811
2060, 7129, 1.5, 1.1, 1.9, 2995, 6373, 5894, 36, 2600, 2117, 470, 12267
2061, 3733, 1.5, 1, 1.8, 1391, 2913, 2767, 39, 2650, 2424, 508, 5680
2062, 3458, 1.6, 1.3, 2.1, 1754, 3566, 3218, 37, 2708, 2235, 480, 6784
2063, 2225, 2, 1.8, 2.9, 1613, 3064, 2868, 40, 3315, 2625, 577, 5932
2064, 3921, 1.6, 1.2, 2.4, 2316, 4441, 4202, 34, 2500, 1909, 460, 8643
2065, 13651, 1.6, 1.2, 2.2, 7263, 14035, 13141, 35, 2713, 2289, 485, 27176
2066, 11524, 1.8, 1.5, 2.5, 7345, 14305, 13319, 37, 2708, 2121, 418, 27624
2067, 9644, 1.6, 1.2, 2.6, 5980, 11850, 10773, 35, 2600, 1658, 495, 22623
2068, 6038, 1.9, 1.6, 2.8, 4304, 8172, 7699, 39, 3105, 2337, 500, 15871
2069, 4781, 1.9, 1.8, 3, 3610, 6852, 6429, 40, 3007, 2563, 531, 13281
