Financial Year,Offence Month,Inf No,Face Value,Infringement Type,Offence Description,Location Details
2008/09,Nov,17,5508,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SPRINGHILL ROAD (600) CONISTON EASTBOUND
2008/09,Oct,357,115668,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (2) FOREST LODGE EASTBOUND
2008/09,Oct,207,67068,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2008/09,Apr,10,3240,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DAVIES ROAD(25) PADSTOW SOUTHBOUND
2008/09,Mar,67,21708,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BEXLEY ROAD (49) CLEMTON PARK NORTHBOUND
2008/09,Mar,32,10368,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2008/09,Mar,49,15876,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2008/09,Sep,275,89100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2008/09,Sep,347,112428,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SILVERWATER ROAD (115) SILVERWATER SOUTHBOUND
2008/09,Sep,113,36612,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DAVIES ROAD(25) PADSTOW SOUTHBOUND
2008/09,Sep,144,46656,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2008/09,Jan,3,972,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG EASTBOUND
2008/09,Aug,270,87480,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BROADWAY(35) ULTIMO WESTBOUND
2008/09,Aug,331,107244,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SILVERWATER ROAD (115) SILVERWATER SOUTHBOUND
2008/09,Aug,40,12960,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2008/09,Aug,4,1296,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY BULLI (Z) SOUTHBOUND
2008/09,Jul,123,39852,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2008/09,Jul,96,31104,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CONCORD ROAD (100) STRATHFIELD NORTH (Z) NORTHBOUND
2008/09,Jul,88,28512,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SUNNYHOLT ROAD (109) BLACKTOWN SOUTHBOUND
2008/09,Jul,31,10044,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2010/11,Jul,11,4730,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2009/10,Jun,37,15614,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2009/10,Mar,54,22788,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Individual,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2009/10,Jul,17,7174,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2010/11,Nov,8,2752,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CHURCH STREET (74) RYDE SOUTHBOUND
2010/11,Jul,3,1032,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2010/11,Sep,174,59856,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2010/11,Sep,15,5160,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2010/11,Aug,140,48160,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2010/11,Aug,27,9288,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2010/11,Jul,201,69144,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BROADWAY(35) ULTIMO WESTBOUND
2009/10,Jan,5,1690,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SILVERWATER ROAD (115) SILVERWATER SOUTHBOUND
2009/10,May,6,2028,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BROADWAY(35) ULTIMO WESTBOUND
2009/10,Oct,2,676,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2009/10,Jul,5,1690,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BOURKE STREET (128) ZETLAND EASTBOUND
2009/10,Jul,4,1352,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2009/10,Jun,48,16224,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2009/10,Jun,77,26026,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BEXLEY ROAD (49) CLEMTON PARK NORTHBOUND
2009/10,Mar,308,104104,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CHURCH STREET (74) RYDE SOUTHBOUND
2009/10,Feb,103,34814,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DAVIES ROAD(25) PADSTOW SOUTHBOUND
2009/10,Feb,184,62192,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2009/10,Feb,150,50700,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
2009/10,Jan,81,27378,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,GEORGES RIVER ROAD (136) CROYDON PARK WESTBOUND
2009/10,Jan,129,43602,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2009/10,May,151,51038,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2009/10,May,212,71656,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2009/10,May,184,62192,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
2009/10,Apr,149,50362,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SILVERWATER ROAD (115) SILVERWATER SOUTHBOUND
2009/10,May,47,15886,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2009/10,Dec,167,56446,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BROADWAY(35) ULTIMO WESTBOUND
2009/10,Nov,173,58474,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BROADWAY(35) ULTIMO WESTBOUND
2009/10,Dec,42,14196,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2009/10,Nov,139,46982,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2009/10,Apr,207,69966,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2009/10,Nov,135,45630,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2009/10,Oct,222,75036,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2009/10,Oct,62,20956,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2009/10,Oct,198,66924,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2009/10,Sep,149,50362,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2009/10,Sep,147,49686,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BROADWAY(35) ULTIMO WESTBOUND
2009/10,Sep,116,39208,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2009/10,Aug,230,77740,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2009/10,Aug,515,174070,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CHURCH STREET (74) RYDE SOUTHBOUND
2009/10,Aug,131,44278,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
2006/07,Mar,7,2156,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (86) ERMINGTON WESTBOUND
2006/07,Jan,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KINGSWAY (85) WOOLOOWARE WESTBOUND
2006/07,Nov,5,1540,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (86) ERMINGTON WESTBOUND
2006/07,Nov,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Jul,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2006/07,Jul,48,14784,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING GEORGES ROAD (42) BEVERLY HILLS NORTHBOUND
2005/06,Jun,5,1500,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2005/06,Feb,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SUNNYHOLT ROAD (109) BLACKTOWN SOUTHBOUND
2005/06,Feb,7,2100,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2005/06,Feb,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2005/06,Sep,6,1800,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2007/08,Mar,5,1590,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WICKS ROAD (75) NORTH RYDE NORTHBOUND
2007/08,Nov,5,1590,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,STONEY CREEK ROAD (140) PEAKHURST WESTBOUND
2007/08,Oct,4,1272,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2007/08,Feb,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BLAXLAND ROAD (149) EASTWOOD NORTHBOUND
2007/08,Jul,6,1908,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MILITARY ROAD (126) MOSMAN WESTBOUND
2007/08,Sep,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2007/08,May,7,2226,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2007/08,Sep,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ERNEST STREET(158) CAMMERAY EASTBOUND
2007/08,Jan,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HWY (57) CANLEY HEIGHTS NORTHBOUND
2007/08,Aug,14,5558,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Individual,MILITARY ROAD (111) CREMORNE (Z) SOUTHBOUND
2008/09,Nov,7,2268,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BROADWAY(35) ULTIMO WESTBOUND
2008/09,Jul,2,648,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2008/09,Dec,25,8100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (97) SOUTH WENTWORTHVILLE EASTBOUND
2010/11,Jul,1,430,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2009/10,Nov,1,422,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2009/10,Jul,1,422,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Corporation,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2009/10,Jun,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2009/10,Jun,3,1014,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2009/10,May,8,2704,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
2009/10,Dec,2,676,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2009/10,May,6,2028,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2009/10,Apr,4,1352,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2009/10,Apr,30,10140,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2006/07,Jun,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ERNEST STREET(158) CAMMERAY EASTBOUND
2006/07,Apr,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MULGOA ROAD (94) PENRITH NORTHBOUND
2006/07,Nov,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2006/07,Feb,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DONALD STREET (512) HAMILTON WESTBOUND
2006/07,Aug,9,2772,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (157) TURRAMURRA WESTBOUND
2006/07,Aug,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MAIN ROAD (503) GLENDALE EASTBOUND
2006/07,May,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ERNEST STREET(158) CAMMERAY EASTBOUND
2006/07,Mar,5,1540,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CANTERBURY ROAD(28) PUNCHBOWL EASTBOUND
2006/07,Feb,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Jun,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2005/06,Mar,3,900,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (157) TURRAMURRA NORTHBOUND
2005/06,Dec,4,1200,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,OXFORD STREET (67) BONDI JUNCTION WESTBOUND
2005/06,Dec,4,1200,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CUMBERLAND HWY (57) CANLEY HEIGHTS SOUTHBOUND
2005/06,Nov,3,900,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KING STREET (605) WARRAWONG SOUTHBOUND
2005/06,Nov,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2005/06,Feb,4,1200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY BULLI (Z) NORTHBOUND
2007/08,Mar,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2007/08,Feb,8,2544,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CHURCH STREET (74) RYDE SOUTHBOUND
2007/08,Jul,4,1272,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2007/08,Jan,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2007/08,May,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2007/08,Dec,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BUNGARRIBEE ROAD (153) BLACKTOWN EASTBOUND
2008/09,Apr,1,405,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Corporation,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2008/09,Feb,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KINGSWAY (85) WOOLOOWARE WESTBOUND
2008/09,Feb,2,648,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SILVERWATER ROAD (115) SILVERWATER EASTBOUND
2008/09,Aug,7,2268,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS ROAD (607) PORT KEMBLA NORTHBOUND
2009/10,Feb,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2009/10,Oct,7,2366,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2009/10,Sep,6,2028,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2009/10,Aug,3,1014,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
2006/07,Jun,3,1152,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Individual,PRINCES HIGHWAY BULLI (Z) SOUTHBOUND
2006/07,Apr,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ROCKY POINT ROAD (142) RAMSGATE SOUTHBOUND
2006/07,Mar,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (500) BELMONT SOUTHBOUND
2005/06,Apr,4,1200,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2005/06,Dec,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (133) GREENACRE SOUTHBOUND
2005/06,Sep,4,1200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CONCORD ROAD (100) STRATHFIELD NORTH (Z) NORTHBOUND
2007/08,Feb,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WINDANG ROAD (602) WINDANG NORTHBOUND
2007/08,Oct,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BLAXLAND ROAD (149) EASTWOOD NORTHBOUND
2008/09,Feb,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2010/11,Dec,5,1720,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CHURCH STREET (74) RYDE SOUTHBOUND
2010/11,Dec,1,344,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2009/10,Jun,2,676,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2009/10,May,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL SOUTHBOUND
2009/10,Mar,3,1014,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BOTANY ROAD(36) MASCOT WESTBOUND
2009/10,Sep,4,1352,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BOURKE STREET (69) DARLINGHURST NORTHBOUND
2006/07,Jan,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2006/07,Jul,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MAIN ROAD (503) GLENDALE EASTBOUND
2005/06,Oct,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KING STREET (605) WARRAWONG SOUTHBOUND
2007/08,Jun,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,GLEBE ROAD (508) ADAMSTOWN EASTBOUND
2009/10,Mar,2,844,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Corporation,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2006/07,May,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2006/07,Mar,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2006/07,Jul,4,1232,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Feb,4,1232,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (133) GREENACRE SOUTHBOUND
2005/06,May,2,600,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,GOULBURN STREET (119) SYDNEY EASTBOUND
2005/06,Apr,3,900,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2005/06,Feb,2,600,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ROCKY POINT ROAD (142) RAMSGATE SOUTHBOUND
2005/06,Jan,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2005/06,Dec,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2005/06,Feb,2,600,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,RYDE ROAD (138) GLADESVILLE WESTBOUND
2007/08,Nov,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2008/09,Mar,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2008/09,Jan,4,1296,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2008/09,Mar,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FAIRLIGHT STREET (137) FIVE DOCK SOUTHBOUND
2010/11,Jul,2,688,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BEXLEY ROAD (49) CLEMTON PARK NORTHBOUND
2009/10,May,3,1014,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2009/10,Mar,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DAVIES ROAD(25) PADSTOW SOUTHBOUND
2009/10,Mar,2,676,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2006/07,Jun,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (500) BELMONT SOUTHBOUND
2006/07,Dec,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,Feb,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2006/07,Jan,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ROCKY POINT ROAD (142) RAMSGATE SOUTHBOUND
2006/07,Jan,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,TUDOR STREET (513) HAMILTON WESTBOUND
2006/07,Sep,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2005/06,Feb,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (154) CROWS NEST SOUTHBOUND
2005/06,Oct,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,FIVE ISLANDS ROAD (607) PORT KEMBLA NORTHBOUND
2005/06,Dec,2,600,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2005/06,Jan,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,GLEBE ROAD (508) ADAMSTOWN EASTBOUND
2007/08,Aug,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SYDNEY ROAD (121) BALGOWLAH EASTBOUND
2007/08,Jul,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (500) BELMONT SOUTHBOUND
2008/09,Nov,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2008/09,Feb,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2009/10,May,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM SOUTHBOUND
2009/10,Oct,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA STREET (62) SMITHFIELD NORTHBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2006/07,Jul,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
