2013,Stealing from person,,,Steal from motor vehicle,,,Robbery,,,Assault -non-domestic violence,,,Assault - domestic violence,,,Sexual offences,,
,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank
Gundagai, - , - , nc , 18 , 479.7 , 81 , - , - , nc , 9 , 239.9 , 116 , 14 , 373.1 , 75 , 8 , 213.2 , 46 
Gunnedah, 6 , 47.7 , 60 , 112 , 889.7 , 18 , 2 , 15.9 , 94 , 123 , 977.1 , 6 , 95 , 754.7 , 14 , 32 , 254.2 , 24 
Guyra, - , - , nc , 21 , 459.2 , 85 , 1 , 21.9 , 79 , 34 , 743.5 , 22 , 33 , 721.6 , 19 , 9 , 196.8 , 50 
Gwydir, - , - , nc , 18 , 354.3 , 109 , - , - , nc , 8 , 157.5 , 134 , 15 , 295.3 , 95 , 11 , 216.5 , 43 
Harden, - , - , nc , 6 , 162.4 , 134 , - , - , nc , 8 , 216.5 , 123 , 13 , 351.8 , 84 , 2 , 54.1 , 137 
Hawkesbury, 23 , 35.7 , 75 , 412 , 639.4 , 49 , 22 , 34.1 , 47 , 265 , 411.2 , 80 , 293 , 454.7 , 52 , 98 , 152.1 , 79 
Hay, - , - , nc , 10 , 331.9 , 111 , - , - , nc , 24 , 796.5 , 16 , 15 , 497.8 , 43 , 12 , 398.3 , 9 
Holroyd, 62 , 58.6 , 45 , 877 , 829.1 , 25 , 119 , 112.5 , 6 , 325 , 307.3 , 100 , 417 , 394.2 , 68 , 124 , 117.2 , 105 
Hornsby, 72 , 43.6 , 65 , 386 , 233.8 , 123 , 23 , 13.9 , 98 , 236 , 143.0 , 139 , 203 , 123.0 , 135 , 129 , 78.1 , 126 
Hunters Hill, 8 , 56.7 , 49 , 67 , 474.7 , 83 , 6 , 42.5 , 35 , 38 , 269.2 , 106 , 14 , 99.2 , 137 , 12 , 85.0 , 122 
